,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,label
12597, Puma,2019,21000,Manual,150,Petrol,150,50.4,1.0,0.3818528957177925
12598, Fiesta,2020,15000,Manual,250,Petrol,150,56.5,1.0,0.27275206836985183
12599, Focus,2020,20000,Manual,25,Petrol,150,51.4,1.5,0.3636694244931357
12600, Mustang,2020,41000,Manual,100,Petrol,145,22.8,5.0,0.7455223202109282
12601, Fiesta,2018,11000,Manual,8500,Petrol,150,65.7,1.0,0.20001818347122466
12602, Focus,2017,11491,Semi-Auto,44525,Diesel,145,67.3,1.5,0.20894626784253115
12603, Fiesta,2019,14491,Manual,5120,Petrol,150,56.5,1.0,0.2634966815165015
12604, Focus,2017,17991,Manual,17783,Petrol,150,41.5,2.0,0.32713883080280026
12605, Fiesta,2019,13000,Semi-Auto,7005,Petrol,145,48.7,1.0,0.23638512592053823
12606, Fiesta,2019,14250,Semi-Auto,7547,Petrol,145,48.7,1.0,0.2591144649513592
12607, Fiesta,2016,10800,Semi-Auto,5546,Petrol,145,47.9,1.6,0.1963814892262933
12608, Fiesta,2014,10500,Semi-Auto,14751,Petrol,0,57.7,1.0,0.19092644785889626
12609, Fiesta,2017,9000,Manual,13532,Petrol,145,64.2,1.1,0.1636512410219111
12610, Fiesta,2018,12500,Manual,13668,Petrol,145,56.5,1.0,0.22729339030820983
12611, Kuga,2013,10000,Semi-Auto,65110,Diesel,205,45.6,2.0,0.18183471224656786
12612, Mondeo,2019,20750,Manual,2986,Diesel,145,51.4,2.0,0.37730702791162835
12613, Mustang,2019,45250,Automatic,2500,Petrol,145,22.1,5.0,0.8228020729157196
12614, EcoSport,2019,15995,Manual,6100,Petrol,150,51.4,1.0,0.2908446222383853
12615, Kuga,2017,14500,Manual,20937,Diesel,150,60.1,2.0,0.26366033275752343
12616, Mondeo,2016,11250,Manual,32426,Diesel,20,68.9,2.0,0.20456405127738886
12617, S-MAX,2016,16000,Manual,29509,Diesel,125,56.5,2.0,0.2909355395945086
12618, Focus,2017,10750,Semi-Auto,30596,Petrol,125,51.4,1.0,0.19547231566506046
12619, Fiesta,2019,14000,Semi-Auto,10274,Petrol,150,48.7,1.0,0.25456859714519503
12620, Fiesta,2019,15800,Manual,2751,Petrol,145,58.9,1.0,0.2872988453495772
12621, Fiesta,2017,10800,Manual,15941,Petrol,0,65.7,1.0,0.1963814892262933
12622, Fiesta,2018,15800,Semi-Auto,6834,Petrol,150,48.7,1.0,0.2872988453495772
12623, Fiesta,2016,8700,Manual,48934,Petrol,145,47.9,1.6,0.15819619965451404
12624, Kuga,2019,16800,Manual,10786,Petrol,145,34.4,1.5,0.305482316574234
12625, Kuga,2017,18750,Semi-Auto,17074,Diesel,150,54.3,2.0,0.34094008546231475
12626, Focus,2019,18250,Automatic,4261,Petrol,150,48.7,1.0,0.33184834984998635
12627, Kuga,2017,14350,Automatic,35550,Petrol,150,38.2,1.5,0.2609328120738249
12628, Fiesta,2017,11100,Semi-Auto,3116,Petrol,0,57.7,1.0,0.20183653059369033
12629, Focus,2017,18800,Manual,8813,Petrol,145,41.5,2.0,0.34184925902354757
12630, Kuga,2017,15000,Manual,30424,Diesel,30,64.2,1.5,0.27275206836985183
12631, Fiesta,2018,10700,Manual,12372,Diesel,145,85.6,1.5,0.1945631421038276
12632, EcoSport,2019,16000,Semi-Auto,4243,Petrol,150,45.6,1.0,0.2909355395945086
12633, Fiesta,2018,13350,Manual,7256,Petrol,150,65.7,1.0,0.2427493408491681
12634, Kuga,2019,21000,Manual,3637,Diesel,145,39.2,2.0,0.3818528957177925
12635, EcoSport,2017,10000,Manual,15800,Petrol,145,52.3,1.0,0.18183471224656786
12636, Fiesta,2017,9250,Manual,13800,Petrol,145,65.7,1.0,0.1681971088280753
12637, Focus,2018,11850,Manual,15363,Petrol,145,60.1,1.0,0.21547413401218293
12638, Kuga,2019,20500,Manual,9739,Diesel,145,39.2,2.0,0.3727611601054641
12639, Fiesta,2016,9799,Manual,25419,Petrol,20,62.8,1.0,0.17817983453041186
12640, Focus,2017,25499,Manual,28066,Petrol,235,36.7,2.3,0.4636603327575234
12641, Focus,2019,16499,Manual,4615,Petrol,145,58.9,1.0,0.30000909173561235
12642, Focus,2019,18999,Manual,3155,Petrol,145,60.1,1.0,0.3454677697972543
12643, Grand C-MAX,2016,10499,Manual,12884,Petrol,30,54.3,1.0,0.1909082643876716
12644, Fiesta,2018,12299,Manual,9231,Petrol,150,58.9,1.0,0.22363851259205383
12645, Fiesta,2018,10499,Manual,17056,Petrol,150,65.7,1.0,0.1909082643876716
12646, Fiesta,2017,10299,Manual,19789,Petrol,150,62.8,1.0,0.18727157014274026
12647, Fiesta,2020,15999,Manual,2012,Petrol,145,60.1,1.0,0.29091735612328395
12648, EcoSport,2017,9200,Manual,17138,Petrol,160,44.8,1.5,0.16728793526684244
