,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,label
0, Fiesta,2017,12000,Automatic,15944,Petrol,150,57.7,1.0,0.21820165469588143
1, Focus,2018,14000,Manual,9083,Petrol,150,57.7,1.0,0.25456859714519503
2, Focus,2017,13000,Manual,12456,Petrol,150,57.7,1.0,0.23638512592053823
3, Fiesta,2019,17500,Manual,10460,Petrol,145,40.3,1.5,0.3182107464314938
4, Fiesta,2019,16500,Automatic,1482,Petrol,145,48.7,1.0,0.300027275206837
5, Fiesta,2015,10500,Manual,35432,Petrol,145,47.9,1.6,0.19092644785889626
6, Puma,2019,22500,Manual,2029,Petrol,145,50.4,1.0,0.4091281025547777
7, Fiesta,2017,9000,Manual,13054,Petrol,145,54.3,1.2,0.1636512410219111
8, Kuga,2019,25500,Automatic,6894,Diesel,145,42.2,2.0,0.46367851622874806
9, Focus,2018,10000,Manual,48141,Petrol,145,61.4,1.0,0.18183471224656786
10, Fiesta,2018,11561,Manual,18803,Petrol,145,56.5,1.0,0.21021911082825712
11, EcoSport,2018,13500,Manual,12065,Petrol,145,54.3,1.0,0.24547686153286663
12, Fiesta,2017,11000,Manual,20978,Petrol,0,65.7,1.0,0.20001818347122466
13, Kuga,2018,17999,Semi-Auto,9002,Diesel,145,54.3,2.0,0.3272842985725975
14, Kuga,2018,18999,Semi-Auto,8970,Diesel,145,58.9,1.5,0.3454677697972543
15, Kuga,2018,14399,Manual,12810,Diesel,145,64.2,1.5,0.26182380216383305
16, Kuga,2019,17999,Manual,10428,Diesel,145,38.2,2.0,0.3272842985725975
17, Kuga,2018,16899,Manual,14680,Diesel,145,54.3,2.0,0.30728248022547505
18, Fiesta,2017,10999,Manual,12427,Petrol,20,62.8,1.0,0.2
19, Fiesta,2019,12500,Manual,25521,Petrol,145,55.4,1.0,0.22729339030820983
20, Fiesta,2018,9499,Manual,20400,Petrol,145,55.4,1.1,0.1727247931630148
21, Fiesta,2017,10500,Manual,24926,Petrol,145,65.7,1.0,0.19092644785889626
22, Fiesta,2017,8995,Manual,26163,Petrol,145,65.7,1.0,0.1635603236657878
23, Kuga,2014,8995,Manual,59000,Diesel,160,47.9,2.0,0.1635603236657878
24, Fiesta,2014,6795,Manual,35299,Petrol,0,65.7,1.0,0.12355668697154287
25, Focus,2017,18499,Manual,13063,Petrol,145,41.5,2.0,0.3363760341849259
26, C-MAX,2018,11799,Manual,23800,Diesel,145,68.9,1.5,0.21454677697972543
27, Fiesta,2015,8299,Manual,25935,Petrol,0,65.7,1.0,0.15090462769342666
28, Fiesta,2018,12499,Manual,8700,Petrol,145,58.9,1.0,0.22727520683698518
29, Fiesta,2017,8699,Manual,25000,Petrol,125,54.3,1.2,0.1581780161832894
30, Fiesta,2016,7999,Manual,60730,Diesel,0,78.5,1.5,0.14544958632602964
31, Fiesta,2017,8991,Manual,18561,Petrol,145,54.3,1.2,0.16348758978088918
32, Focus,2019,18990,Manual,8400,Petrol,145,60.1,1.0,0.3453041185562324
33, Fiesta,2013,7236,Manual,39090,Petrol,0,65.7,1.0,0.1315755977816165
34, Kuga,2018,15287,Semi-Auto,33149,Diesel,145,58.9,1.5,0.2779707246113283
35, Mondeo,2019,20000,Manual,24,Diesel,145,65.7,2.0,0.3636694244931357
36, EcoSport,2020,20000,Manual,558,Petrol,145,53.3,1.0,0.3636694244931357
37, Kuga,2019,21378,Manual,3259,Diesel,145,39.2,2.0,0.3887262478407128
38, Fiesta,2018,9814,Manual,15100,Petrol,145,65.7,1.0,0.17845258659878172
39, Ka+,2018,8261,Manual,25000,Petrol,145,57.7,1.2,0.15021365578688972
40, Fiesta,2017,8788,Manual,15612,Petrol,145,65.7,1.0,0.15979634512228386
41, Fiesta,2018,12251,Manual,8920,Petrol,145,58.9,1.0,0.2227657059732703
42, Kuga,2017,16320,Manual,24803,Diesel,145,60.1,2.0,0.29675425038639874
43, Fiesta,2019,13140,Manual,7,Petrol,145,48.7,1.1,0.23893081189199017
44, Fiesta,2018,10491,Semi-Auto,43019,Petrol,145,48.7,1.0,0.19076279661787435
45, Kuga,2016,13870,Semi-Auto,41607,Diesel,145,54.3,2.0,0.2522047458859896
46, Focus,2017,14960,Manual,23554,Petrol,145,41.5,2.0,0.27202472952086554
47, Fiesta,2019,13540,Manual,6923,Petrol,145,58.9,1.0,0.2462042003818529
48, Focus,2019,17970,Manual,10985,Diesel,145,74.3,1.5,0.32675697790708247
49, C-MAX,2017,9330,Manual,29617,Diesel,20,68.9,1.5,0.16965178652604782
50, Fiesta,2016,6000,Manual,47613,Petrol,0,65.7,1.0,0.10910082734794072
51, Ka+,2019,8995,Manual,5122,Petrol,145,43.5,1.2,0.1635603236657878
52, Ka+,2019,8495,Manual,32,Petrol,145,48.7,1.2,0.1544685880534594
53, Fiesta,2016,6395,Manual,31562,Petrol,125,54.3,1.2,0.11628329848168015
54, Focus,2019,14495,Manual,8131,Petrol,145,58.9,1.0,0.2635694154014001
55, Tourneo Custom,2018,19995,Automatic,24568,Diesel,145,31.7,2.0,0.36357850713701245
56, S-MAX,2017,18495,Automatic,39605,Diesel,145,54.3,2.0,0.33630330030002725
57, Focus,2019,17995,Manual,11496,Diesel,145,57.6,2.0,0.3272115646876989
58, Fiesta,2013,5495,Manual,51271,Petrol,30,54.3,1.2,0.09991817437948905
59, Kuga,2018,16995,Automatic,7189,Diesel,145,58.9,1.5,0.3090280934630421
60, Kuga,2018,16495,Manual,29428,Diesel,145,54.3,1.5,0.2999363578507137
61, Kuga,2018,17998,Manual,12162,Petrol,145,39.2,1.5,0.3272661151013729
62, B-MAX,2014,7498,Semi-Auto,33023,Petrol,160,44.1,1.6,0.1363396672424766
63, Focus,2019,17498,Manual,2714,Petrol,150,49.6,1.0,0.3181743794890445
64, S-MAX,2017,17498,Manual,17051,Diesel,150,56.5,2.0,0.3181743794890445
65, Fiesta,2013,5998,Manual,44304,Diesel,0,76.4,1.5,0.1090644604054914
66, Kuga,2019,17698,Manual,4844,Petrol,145,34.4,1.5,0.3218110737339758
67, Kuga,2016,11000,Manual,31810,Diesel,125,60.1,2.0,0.20001818347122466
68, EcoSport,2017,8700,Manual,43081,Petrol,145,44.8,1.5,0.15819619965451404
69, Kuga,2017,15300,Manual,47159,Diesel,145,54.3,2.0,0.2782071097372488
70, Fiesta,2013,7490,Manual,25000,Petrol,0,65.7,1.0,0.13619419947267933
71, Focus,2017,10760,Manual,29891,Petrol,145,60.1,1.0,0.19565415037730702
72, Kuga,2019,18760,Manual,10237,Petrol,145,39.2,1.5,0.34112192017456133
73, Fiesta,2014,6360,Manual,48653,Petrol,0,65.7,1.0,0.11564687698881716
74, Fiesta,2014,6270,Manual,60888,Petrol,0,65.7,1.0,0.11401036457859806
75, Kuga,2017,17920,Automatic,15815,Petrol,235,38.2,1.5,0.32584780434584965
76, Fiesta,2013,4790,Manual,74128,Petrol,0,65.7,1.0,0.08709882716610601
77, Focus,2015,7830,Manual,50124,Diesel,0,74.3,1.5,0.14237657968906264
78, Fiesta,2015,6990,Manual,29851,Diesel,0,76.4,1.5,0.12710246386035093
79, Edge,2016,18640,Manual,24105,Diesel,160,48.7,2.0,0.3389399036276025
80, Fiesta,2015,6700,Manual,28935,Petrol,30,54.3,1.2,0.12182925720520048
81, Fiesta,2018,9498,Manual,30925,Petrol,145,65.7,1.0,0.17270660969179016
82, Focus,2018,13698,Manual,13418,Petrol,145,58.9,1.0,0.24907718883534866
83, Fiesta,2018,13298,Manual,13756,Petrol,145,58.9,1.0,0.24180380034548596
84, Kuga,2015,14398,Manual,25175,Diesel,145,54.3,2.0,0.26180561869260843
85, Fiesta,2017,8998,Manual,21267,Petrol,145,64.2,1.1,0.16361487407946176
86, Fiesta,2019,12698,Manual,12130,Petrol,145,56.5,1.0,0.23089371761069188
87, Fiesta,2019,11998,Manual,17354,Petrol,145,56.5,1.0,0.21816528775343214
88, Fiesta,2019,13498,Manual,15822,Petrol,145,58.9,1.0,0.2454404945904173
89, Fiesta,2019,13498,Manual,10557,Petrol,145,58.9,1.0,0.2454404945904173
90, Focus,2016,9698,Manual,20786,Petrol,20,61.4,1.0,0.1763433039367215
91, Focus,2016,24995,Manual,7997,Petrol,235,36.7,2.3,0.4544958632602964
92, Fiesta,2017,9895,Manual,19079,Petrol,145,65.7,1.0,0.17992544776797892
93, Fiesta,2018,12995,Manual,14979,Petrol,145,58.9,1.0,0.23629420856441494
94, Tourneo Connect,2015,9295,Manual,47904,Diesel,125,56.5,1.6,0.16901536503318484
95, Fiesta,2016,8495,Manual,24410,Petrol,125,54.3,1.2,0.1544685880534594
96, Fiesta,2019,13895,Manual,13600,Petrol,145,58.9,1.0,0.25265933266660606
97, Focus,2018,18298,Manual,21456,Diesel,145,67.3,2.0,0.3327211564687699
98, Focus,2015,9198,Manual,31512,Diesel,0,74.3,1.5,0.1672515683243931
99, Fiesta,2016,10798,Manual,11843,Petrol,0,65.7,1.0,0.196345122283844
100, Fiesta,2016,8998,Manual,31373,Petrol,0,65.7,1.0,0.16361487407946176
101, Kuga,2018,18498,Manual,7796,Diesel,145,54.3,1.5,0.3363578507137012
102, Kuga,2017,13498,Manual,26597,Diesel,145,54.3,2.0,0.2454404945904173
103, Kuga,2017,14998,Manual,15978,Diesel,30,64.2,1.5,0.2727157014274025
104, Kuga,2017,13998,Automatic,13265,Petrol,240,38.2,1.5,0.2545322302027457
105, EcoSport,2016,9998,Manual,20491,Petrol,125,52.3,1.0,0.18179834530411856
106, Tourneo Connect,2017,10998,Manual,16310,Petrol,125,50.4,1.0,0.19998181652877534
107, Focus,2017,17698,Manual,14557,Petrol,145,41.5,2.0,0.3218110737339758
108, Focus,2017,11498,Semi-Auto,30917,Petrol,125,51.4,1.0,0.20907355214110374
109, Focus,2017,12798,Manual,22153,Diesel,145,74.3,1.5,0.23271206473315756
110, C-MAX,2015,8698,Manual,31743,Petrol,30,55.4,1.0,0.15815983271206474
111, Kuga,2019,19495,Manual,13673,Diesel,145,47.9,2.0,0.35448677152468405
112, Fiesta,2018,9995,Manual,25776,Petrol,145,65.7,1.0,0.1817437948904446
113, Focus,2016,10995,Manual,30923,Diesel,0,74.3,1.5,0.19992726611510137
114, Kuga,2017,13998,Manual,24504,Diesel,150,64.2,1.5,0.2545322302027457
115, Fiesta,2017,11998,Manual,6568,Petrol,145,62.8,1.0,0.21816528775343214
116, Tourneo Connect,2016,8998,Manual,42960,Diesel,30,61.4,1.5,0.16361487407946176
117, Kuga,2018,16698,Manual,5117,Diesel,145,54.3,1.5,0.30362760250931903
118, EcoSport,2016,8998,Manual,31736,Petrol,125,53.3,1.0,0.16361487407946176
119, Fiesta,2015,7998,Manual,19212,Petrol,0,65.7,1.0,0.145431402854805
120, Fiesta,2018,12495,Manual,12426,Petrol,145,65.7,1.0,0.22720247295208656
121, Ka+,2017,7995,Manual,12872,Petrol,145,57.7,1.2,0.14537685244113102
122, Puma,2020,21995,Manual,4111,Petrol,145,50.4,1.0,0.39994544958632605
123, Kuga,2018,16995,Manual,34690,Diesel,145,60.1,2.0,0.3090280934630421
124, Fiesta,2018,11995,Manual,32168,Petrol,145,65.7,1.0,0.21811073733975817
125, Kuga,2019,19995,Manual,11312,Diesel,145,47.9,2.0,0.36357850713701245
126, Fiesta,2017,8995,Manual,31559,Petrol,145,65.7,1.0,0.1635603236657878
127, Ka+,2017,8295,Manual,23000,Petrol,145,57.7,1.2,0.15083189380852804
128, EcoSport,2018,14698,Manual,6442,Petrol,145,54.3,1.0,0.26726066006000543
129, Fiesta,2016,10498,Semi-Auto,29590,Petrol,0,57.7,1.0,0.19089008091644694
130, Focus,2018,14495,Manual,17030,Petrol,145,57.7,1.0,0.2635694154014001
131, Focus,2016,8995,Manual,22493,Petrol,20,60.1,1.0,0.1635603236657878
132, Focus,2016,15995,Manual,29600,Diesel,20,67.3,2.0,0.2908446222383853
133, C-MAX,2016,10995,Semi-Auto,26500,Diesel,125,58.9,2.0,0.19992726611510137
134, Tourneo Custom,2017,19995,Manual,14000,Diesel,200,44.8,2.0,0.36357850713701245
135, C-MAX,2013,8295,Manual,34783,Diesel,30,61.4,1.6,0.15083189380852804
136, Focus,2015,7995,Manual,56655,Diesel,20,67.3,1.6,0.14537685244113102
137, Kuga,2019,19995,Manual,16000,Diesel,150,47.9,2.0,0.36357850713701245
138, Mondeo,2015,9995,Manual,30753,Diesel,0,78.5,1.5,0.1817437948904446
139, Grand C-MAX,2018,13495,Manual,1030,Petrol,145,47.9,1.0,0.24538594417674334
140, C-MAX,2017,12995,Manual,7817,Petrol,145,55.4,1.0,0.23629420856441494
141, Focus,2018,12995,Manual,9781,Petrol,145,60.1,1.0,0.23629420856441494
142, EcoSport,2018,12998,Manual,17241,Petrol,145,54.3,1.0,0.2363487589780889
143, Tourneo Connect,2015,10298,Manual,28309,Diesel,125,58.9,1.6,0.1872533866715156
144, Fiesta,2017,10498,Manual,50599,Petrol,0,65.7,1.0,0.19089008091644694
145, Focus,2018,11298,Semi-Auto,37880,Diesel,150,74.3,1.5,0.2054368578961724
146, Kuga,2016,10698,Manual,56888,Diesel,125,60.1,2.0,0.1945267751613783
147, Focus,2018,15995,Manual,10500,Petrol,145,60.1,1.0,0.2908446222383853
148, B-MAX,2014,6995,Semi-Auto,50800,Petrol,160,44.1,1.6,0.12719338121647422
149, Fiesta,2019,13950,Manual,6700,Petrol,145,58.9,1.0,0.25365942358396215
150, Fiesta,2017,10650,Manual,31800,Petrol,150,65.7,1.0,0.19365396854259478
151, Fiesta,2016,7995,Manual,20700,Petrol,125,54.3,1.2,0.14537685244113102
152, Focus,2016,11495,Manual,29900,Diesel,0,74.3,1.5,0.20901900172742977
153, Kuga,2018,16995,Manual,32858,Diesel,145,54.3,2.0,0.3090280934630421
154, Fiesta,2018,11995,Manual,31593,Petrol,145,65.7,1.0,0.21811073733975817
155, Focus,2015,10995,Manual,13791,Petrol,125,51.4,1.5,0.19992726611510137
156, Kuga,2019,20495,Manual,12034,Diesel,145,47.9,2.0,0.37267024274934085
157, Focus,2018,19995,Manual,10923,Diesel,145,67.3,2.0,0.36357850713701245
158, Kuga,2019,19995,Manual,10171,Diesel,145,38.2,2.0,0.36357850713701245
159, Focus,2016,10995,Manual,30923,Diesel,0,74.3,1.5,0.19992726611510137
160, EcoSport,2019,18995,Manual,2291,Petrol,145,52.3,1.0,0.34539503591235565
161, Focus,2017,11995,Manual,23469,Petrol,125,51.4,1.5,0.21811073733975817
162, Kuga,2017,16998,Manual,13626,Diesel,125,60.1,2.0,0.3090826438767161
163, Fiesta,2016,7398,Manual,35180,Petrol,125,54.3,1.2,0.13452132012001092
164, Fiesta,2019,11498,Manual,17708,Petrol,145,58.9,1.0,0.20907355214110374
165, Fiesta,2019,13998,Manual,9957,Petrol,145,58.9,1.0,0.2545322302027457
166, Focus,2019,16698,Manual,4542,Petrol,145,60.1,1.0,0.30362760250931903
167, Mondeo,2016,9998,Manual,38358,Diesel,0,78.5,1.5,0.18179834530411856
168, Focus,2015,12998,Manual,25878,Diesel,20,67.3,2.0,0.2363487589780889
169, EcoSport,2016,9998,Semi-Auto,18325,Petrol,160,44.8,1.5,0.18179834530411856
170, Focus,2017,12498,Manual,9338,Petrol,145,60.1,1.0,0.22725702336576054
171, EcoSport,2018,14998,Manual,7133,Diesel,145,58.9,1.5,0.2727157014274025
172, Focus,2017,10498,Manual,42002,Petrol,20,60.1,1.0,0.19089008091644694
173, Kuga,2017,16995,Automatic,3700,Petrol,145,38.2,1.5,0.3090280934630421
174, Focus,2019,15495,Manual,5600,Petrol,145,60.1,1.0,0.2817528866260569
175, Fiesta,2015,9495,Manual,17288,Petrol,0,65.7,1.0,0.1726520592781162
176, B-MAX,2013,5995,Manual,42996,Diesel,20,70.6,1.6,0.10900990999181744
177, Focus,2014,7498,Manual,47566,Petrol,30,56.5,1.0,0.1363396672424766
178, Fiesta,2017,11798,Manual,4262,Petrol,0,65.7,1.0,0.21452859350850076
179, Fiesta,2017,10998,Manual,10125,Petrol,145,65.7,1.0,0.19998181652877534
180, Focus,2017,14998,Automatic,17028,Petrol,150,46.3,1.5,0.2727157014274025
181, Fiesta,2017,8998,Manual,12753,Petrol,145,54.3,1.2,0.16361487407946176
182, Focus,2016,13998,Manual,24895,Diesel,20,67.3,2.0,0.2545322302027457
183, Focus,2017,17998,Manual,9066,Petrol,145,41.5,2.0,0.3272661151013729
184, Fiesta,2019,18998,Manual,3292,Petrol,145,40.3,1.5,0.3454495863260296
185, Kuga,2013,9198,Semi-Auto,48130,Diesel,200,45.6,2.0,0.1672515683243931
186, Kuga,2015,14498,Manual,27513,Diesel,145,54.3,2.0,0.2636239658150741
187, Focus,2017,14998,Manual,32511,Petrol,150,41.5,2.0,0.2727157014274025
188, Fiesta,2016,8498,Manual,21888,Petrol,125,54.3,1.2,0.15452313846713336
189, Fiesta,2019,13995,Manual,11130,Petrol,145,58.9,1.0,0.2544776797890717
190, Focus,2017,18498,Manual,14441,Petrol,145,41.5,2.0,0.3363578507137012
191, Focus,2018,13998,Manual,13401,Petrol,145,60.1,1.0,0.2545322302027457
192, Fiesta,2019,12798,Manual,10567,Petrol,145,58.9,1.0,0.23271206473315756
193, Fiesta,2019,14698,Manual,7872,Petrol,145,58.9,1.0,0.26726066006000543
194, Ka+,2017,7698,Manual,10641,Petrol,30,57.7,1.2,0.13997636148740794
195, EcoSport,2018,12498,Manual,10222,Petrol,145,54.3,1.0,0.22725702336576054
196, Fiesta,2017,9998,Manual,28519,Petrol,20,62.8,1.0,0.18179834530411856
197, Kuga,2017,13998,Manual,51772,Diesel,125,60.1,2.0,0.2545322302027457
198, Fiesta,2016,9500,Automatic,7350,Petrol,0,57.7,1.0,0.1727429766342395
199, Ka+,2018,8195,Manual,12231,Petrol,145,47.9,1.2,0.14901354668606237
200, Kuga,2019,21498,Automatic,5354,Petrol,150,31.0,1.5,0.3909082643876716
201, Focus,2017,17998,Manual,19525,Petrol,145,41.5,2.0,0.3272661151013729
202, EcoSport,2018,14498,Manual,11922,Petrol,145,54.3,1.0,0.2636239658150741
203, C-MAX,2016,9998,Manual,16984,Diesel,20,68.9,1.5,0.18179834530411856
204, Fiesta,2016,7998,Manual,16070,Petrol,125,54.3,1.2,0.145431402854805
205, Focus,2018,10998,Manual,26648,Petrol,145,61.4,1.0,0.19998181652877534
206, Fiesta,2017,10998,Manual,19140,Petrol,145,62.8,1.0,0.19998181652877534
207, Focus,2016,9998,Manual,26399,Diesel,0,74.3,1.5,0.18179834530411856
208, Fiesta,2013,5498,Manual,53545,Petrol,30,54.3,1.2,0.09997272479316302
209, Fiesta,2017,9298,Manual,25491,Petrol,0,65.7,1.0,0.16906991544685882
210, Fiesta,2014,7298,Manual,31359,Petrol,0,65.7,1.0,0.13270297299754524
211, Focus,2016,8498,Manual,51656,Diesel,0,74.3,1.5,0.15452313846713336
212, Kuga,2016,17698,Semi-Auto,11221,Diesel,145,54.3,2.0,0.3218110737339758
213, Kuga,2017,14498,Manual,23356,Diesel,145,60.1,2.0,0.2636239658150741
214, EcoSport,2018,12898,Manual,15267,Petrol,145,53.3,1.0,0.23453041185562323
215, B-MAX,2017,7998,Manual,41294,Diesel,0,74.4,1.5,0.145431402854805
216, C-MAX,2018,12198,Manual,7993,Petrol,145,49.6,1.0,0.22180198199836348
217, EcoSport,2017,9698,Manual,30207,Petrol,145,53.3,1.0,0.1763433039367215
218, Fiesta,2016,8798,Manual,19815,Petrol,0,65.7,1.0,0.15997817983453042
219, Kuga,2015,14298,Manual,43717,Diesel,145,54.3,2.0,0.25998727157014273
220, Focus,2018,15798,Manual,4534,Petrol,145,58.9,1.0,0.28726247840712793
221, Fiesta,2017,10298,Manual,9148,Petrol,145,65.7,1.0,0.1872533866715156
222, KA,2014,4898,Manual,22609,Petrol,30,57.7,1.2,0.08906264205836895
223, Focus,2016,10298,Manual,15510,Diesel,0,74.3,1.5,0.1872533866715156
224, Fiesta,2017,9998,Manual,20347,Petrol,0,65.7,1.0,0.18179834530411856
225, Kuga,2018,16698,Manual,3044,Petrol,145,39.2,1.5,0.30362760250931903
226, Fiesta,2017,8998,Manual,5233,Petrol,125,54.3,1.2,0.16361487407946176
227, Grand C-MAX,2015,8998,Manual,28359,Diesel,125,60.1,1.6,0.16361487407946176
228, Focus,2017,12498,Semi-Auto,12244,Petrol,125,51.4,1.0,0.22725702336576054
229, Fiesta,2018,12498,Manual,17918,Petrol,145,65.7,1.0,0.22725702336576054
230, S-MAX,2020,34498,Semi-Auto,4623,Diesel,145,43.5,2.0,0.6272933903082099
231, EcoSport,2017,9298,Manual,16770,Petrol,145,44.8,1.5,0.16906991544685882
232, Focus,2017,10900,Manual,25459,Petrol,145,60.1,1.0,0.19819983634875898
233, EcoSport,2017,9998,Manual,23913,Petrol,125,53.3,1.0,0.18179834530411856
234, Fiesta,2018,12998,Manual,9901,Petrol,150,65.7,1.0,0.2363487589780889
235, Focus,2016,10998,Semi-Auto,15006,Petrol,125,51.4,1.0,0.19998181652877534
236, Focus,2017,15500,Manual,19593,Petrol,145,41.5,2.0,0.2818438039821802
237, Kuga,2017,16200,Semi-Auto,23027,Diesel,145,58.9,1.5,0.2945722338394399
238, C-MAX,2016,10500,Semi-Auto,13580,Diesel,20,64.2,1.5,0.19092644785889626
239, Focus,2015,13200,Manual,32000,Diesel,20,67.3,2.0,0.24002182016546958
240, Focus,2019,18698,Manual,15365,Petrol,145,60.1,1.0,0.3399945449586326
241, Focus,2019,16998,Manual,7924,Diesel,145,80.7,1.5,0.3090826438767161
242, Fiesta,2017,9998,Manual,10721,Petrol,145,65.7,1.0,0.18179834530411856
243, EcoSport,2017,9498,Manual,25939,Petrol,145,53.3,1.0,0.17270660969179016
244, Fiesta,2019,17498,Manual,3265,Petrol,145,58.9,1.0,0.3181743794890445
245, Focus,2019,15998,Automatic,11045,Petrol,145,41.5,1.0,0.2908991726520593
246, EcoSport,2020,17998,Manual,250,Petrol,145,51.4,1.0,0.3272661151013729
247, B-MAX,2013,5698,Manual,44901,Petrol,145,47.1,1.4,0.10360941903809437
248, Focus,2017,9998,Manual,22001,Petrol,20,60.1,1.0,0.18179834530411856
249, Fiesta,2020,17298,Manual,4563,Petrol,145,54.3,1.0,0.3145376852441131
250, Fiesta,2019,16998,Manual,12236,Petrol,145,55.4,1.0,0.3090826438767161
251, Kuga,2019,23998,Manual,7584,Diesel,145,39.2,2.0,0.43636694244931357
252, Fiesta,2013,6498,Manual,41599,Petrol,0,65.7,1.0,0.1181561960178198
253, Grand C-MAX,2017,12498,Manual,10373,Petrol,145,54.3,1.0,0.22725702336576054
254, Fiesta,2013,4998,Manual,79300,Petrol,0,65.7,1.0,0.09088098918083462
255, C-MAX,2017,11498,Manual,12982,Petrol,30,55.4,1.0,0.20907355214110374
256, Focus,2017,11298,Manual,24386,Diesel,0,74.3,1.5,0.2054368578961724
257, EcoSport,2017,9298,Manual,18209,Diesel,30,64.2,1.5,0.16906991544685882
258, EcoSport,2018,12998,Manual,9796,Petrol,145,54.3,1.0,0.2363487589780889
259, Fiesta,2018,14498,Manual,9428,Petrol,145,62.8,1.0,0.2636239658150741
260, Galaxy,2016,18498,Manual,30528,Diesel,125,56.5,2.0,0.3363578507137012
261, C-MAX,2016,8498,Manual,41772,Petrol,30,55.4,1.0,0.15452313846713336
262, Fiesta,2015,8298,Manual,15673,Petrol,0,65.7,1.0,0.15088644422220202
263, Focus,2015,8498,Manual,47219,Diesel,0,74.3,1.5,0.15452313846713336
264, Focus,2018,12998,Manual,16081,Petrol,150,57.7,1.0,0.2363487589780889
265, Focus,2019,16998,Manual,10476,Petrol,145,60.1,1.0,0.3090826438767161
266, Fiesta,2016,9998,Manual,16647,Petrol,0,65.7,1.0,0.18179834530411856
267, Kuga,2017,13698,Manual,41457,Diesel,150,54.3,2.0,0.24907718883534866
268, Focus,2017,13998,Semi-Auto,4735,Petrol,125,51.4,1.0,0.2545322302027457
269, EcoSport,2016,9498,Manual,24045,Petrol,125,53.3,1.0,0.17270660969179016
270, EcoSport,2019,15984,Manual,6500,Petrol,145,51.4,1.0,0.2906446040549141
271, EcoSport,2017,8489,Manual,60190,Petrol,160,44.8,1.5,0.15435948722611145
272, Fiesta,2017,9995,Manual,27000,Diesel,0,78.5,1.5,0.1817437948904446
273, Fiesta,2017,8498,Manual,32538,Petrol,0,65.7,1.0,0.15452313846713336
274, Kuga,2016,13498,Manual,36345,Diesel,150,54.3,2.0,0.2454404945904173
275, Focus,2016,8998,Manual,43623,Petrol,20,61.4,1.0,0.16361487407946176
276, Kuga,2013,9998,Semi-Auto,58500,Diesel,200,45.6,2.0,0.18179834530411856
277, Kuga,2017,17498,Manual,15729,Diesel,145,54.3,2.0,0.3181743794890445
278, Fiesta,2018,9998,Manual,7892,Petrol,145,65.7,1.0,0.18179834530411856
279, Fiesta,2017,11990,Manual,24725,Petrol,145,47.9,1.6,0.21801981998363487
280, Focus,2019,16899,Manual,7000,Diesel,145,80.7,1.5,0.30728248022547505
281, EcoSport,2019,15984,Manual,3500,Petrol,145,51.4,1.0,0.2906446040549141
282, EcoSport,2019,15984,Manual,4500,Petrol,145,51.4,1.0,0.2906446040549141
283, EcoSport,2019,15984,Manual,4000,Petrol,145,51.4,1.0,0.2906446040549141
284, EcoSport,2019,13998,Manual,4889,Diesel,145,68.9,1.5,0.2545322302027457
285, Kuga,2017,17994,Manual,20633,Diesel,150,54.3,2.0,0.32719338121647423
286, Galaxy,2016,17489,Semi-Auto,47937,Diesel,165,51.4,2.0,0.31801072824802257
287, Kuga,2018,19899,Semi-Auto,28500,Diesel,145,54.3,2.0,0.3618328938994454
288, Fiesta,2014,4699,Manual,85000,Petrol,30,54.3,1.2,0.08544413128466224
289, EcoSport,2017,9949,Manual,23000,Petrol,125,53.3,1.0,0.18090735521411036
290, C-MAX,2017,11498,Manual,9995,Petrol,145,55.4,1.0,0.20907355214110374
291, C-MAX,2017,10898,Manual,12626,Petrol,30,55.4,1.0,0.19816346940630966
292, C-MAX,2018,12998,Manual,7320,Petrol,145,55.4,1.0,0.2363487589780889
293, C-MAX,2019,13498,Manual,23394,Petrol,145,48.7,1.0,0.2454404945904173
294, C-MAX,2017,9998,Manual,12932,Diesel,20,68.9,1.5,0.18179834530411856
295, Focus,2019,18998,Automatic,22246,Diesel,150,64.2,2.0,0.3454495863260296
296, Fiesta,2019,11798,Manual,5530,Petrol,150,48.7,1.1,0.21452859350850076
297, Fiesta,2019,11798,Manual,4590,Petrol,150,48.7,1.1,0.21452859350850076
298, Fiesta,2017,8498,Manual,28479,Petrol,0,65.7,1.0,0.15452313846713336
299, Kuga,2013,8998,Manual,67895,Diesel,200,47.9,2.0,0.16361487407946176
300, Focus,2019,14799,Manual,6249,Petrol,145,60.1,1.0,0.2690971906536958
301, Focus,2019,14799,Manual,8560,Petrol,145,60.1,1.0,0.2690971906536958
302, Mustang,2020,42489,Automatic,3500,Petrol,145,22.1,5.0,0.7725975088644422
303, Kuga,2017,17498,Manual,9940,Petrol,145,45.6,1.5,0.3181743794890445
304, Focus,2019,16498,Manual,4930,Petrol,145,60.1,1.0,0.2999909082643877
305, Focus,2018,19698,Manual,12011,Petrol,145,41.5,2.0,0.35817801618328937
306, Fiesta,2016,8498,Manual,23053,Petrol,125,54.3,1.2,0.15452313846713336
307, Focus,2016,16998,Manual,17589,Petrol,200,41.5,2.0,0.3090826438767161
308, Focus,2019,14998,Manual,7000,Petrol,145,58.9,1.0,0.2727157014274025
309, Grand Tourneo Connect,2019,19999,Manual,3500,Diesel,145,61.4,1.5,0.3636512410219111
310, Kuga,2019,20999,Automatic,5500,Diesel,145,47.9,2.0,0.38183471224656784
311, Focus,2019,14998,Manual,7000,Petrol,145,60.1,1.0,0.2727157014274025
